task_id,submit_time,end_time,cpu_req,gpu_req,duration
45acbbb2e8655c2e43378c2e,1092080.0,1094878.0,600.0,50.0,2798.0
7371eb3cead49a7059b74791,1093583.0,1119942.0,600.0,0.0,26359.0
39090d868fbf513e84ef9bbf,1094461.0,1094561.0,600.0,100.0,100.0
1ed5cf79388b3b945d03e87c,1097431.0,1097481.0,600.0,100.0,50.0
f8d19c29329167e40ea172ca,1097906.0,1097919.0,100.0,0.0,13.0
097653c4650a42823edbfd85,1100849.0,1106789.0,600.0,10.0,5940.0
53d6e46ea1dccfb8e108e1e0,1101161.0,1101169.0,200.0,0.0,8.0
d3d3dd142417b6ea34b7a010,1112157.0,1112209.0,600.0,100.0,52.0
9f832ec9b0cb36149d4e6528,1120233.0,1150650.0,300.0,0.0,30417.0
811542e382ff75528b17e6ba,1122361.0,1122425.0,600.0,100.0,64.0
5f5d59a1ea6d60f3900d9bcd,1125628.0,1126206.0,600.0,50.0,578.0
d808556d4ae8ba19e9dd6baf,1125726.0,1132312.0,600.0,100.0,6586.0
5d033a07b5274dcf4eaf9f16,1128455.0,1128476.0,20.0,10.0,21.0
b675945594985b628d825163,1133510.0,1135604.0,600.0,25.0,2094.0
059f99004b4c8cc729595082,1136342.0,1140133.0,200.0,100.0,3791.0
12297fc06d15267dce10576f,1137514.0,1138296.0,100.0,25.0,782.0
343ccedade025043b5e5271c,1138083.0,1138186.0,200.0,0.0,103.0
daf35aeb87bff995f44f5cc4,1138423.0,1142449.0,600.0,50.0,4026.0
9edecc548a398d30758d246f,1138493.0,1138646.0,600.0,25.0,153.0
e0d84b3975b6fbf03835c553,1138495.0,1139214.0,1800.0,100.0,719.0
05d3ec31583186037582803a,1143470.0,1143944.0,600.0,0.0,474.0
e0586d2ae0d20a32a74dc98c,1144645.0,1145922.0,600.0,25.0,1277.0
9f4754ad251f818a72007c6a,1148558.0,1157135.0,1800.0,100.0,8577.0
50404e2aabbcaf178c9768d1,1148565.0,1158518.0,1800.0,100.0,9953.0
8d5f1b2c0c76f962a3889274,1150147.0,1150192.0,600.0,25.0,45.0
63c3c04ce5ef9b78da3ee0de,1152415.0,1159676.0,400.0,25.0,7261.0
aaf214cf022bf0313c669222,1158979.0,1158996.0,600.0,100.0,17.0
52c2f1af031e36b377986fed,1159757.0,1164367.0,600.0,10.0,4610.0
3a65fb200d7910d8b6cb618c,1172452.0,1175186.0,200.0,0.0,2734.0
fdec049dbcae27ebe2047766,1174557.0,1175216.0,1000.0,50.0,659.0
be2ed246d0f02336b344596b,1174837.0,1185922.0,3200.0,100.0,11085.0
a35f21e046072806110ada3c,1177737.0,1178021.0,600.0,50.0,284.0
f8ece070a2c5a05a76749f1e,1181493.0,1186808.0,800.0,0.0,5315.0
10b7a91f7a05fb49891ebfff,1182605.0,1182620.0,600.0,200.0,15.0
ccff71112e133ba3ccc27535,1184687.0,1185414.0,1000.0,50.0,727.0
4f794b14af4459cf808e7b2e,1186465.0,1186489.0,600.0,100.0,24.0
b75ac289d5a6859a28a06a80,1187636.0,1200841.0,600.0,25.0,13205.0
6222cd16452a033077dc7898,1191121.0,1192959.0,600.0,50.0,1838.0
5af60367792575c874475056,1191764.0,1214397.0,200.0,0.0,22633.0
88045912ebfc4fda9da6300c,1191990.0,1198592.0,600.0,100.0,6602.0
2eb21770f31d10a54be8bab4,1202329.0,1202568.0,600.0,25.0,239.0
9be60acae467f3c1f51cc2c1,1203850.0,1232273.0,600.0,25.0,28423.0
4478334607bca6e5a34c9f05,1204247.0,1204266.0,600.0,50.0,19.0
c041a4b6be7bb5b5f925c3fb,1205384.0,1205397.0,100.0,0.0,13.0
e7bc5702c8780adfae1d4db0,1207694.0,1214727.0,600.0,25.0,7033.0
2046c94b1fbc223930568ddb,1208495.0,1208564.0,600.0,25.0,69.0
