task_id,scheduler_type,cluster_id,submit_time,wait_time,actual_duration,status
39090d868fbf513e84ef9bbf,baseline,2,1094461.0,0.0,100.0,COMPLETED
45acbbb2e8655c2e43378c2e,baseline,0,1092080.0,0.0,2798.0,COMPLETED
1ed5cf79388b3b945d03e87c,baseline,0,1097431.0,0.0,50.0,COMPLETED
f8d19c29329167e40ea172ca,baseline,0,1097906.0,0.0,13.0,COMPLETED
53d6e46ea1dccfb8e108e1e0,baseline,2,1101161.0,0.0,8.0,COMPLETED
097653c4650a42823edbfd85,baseline,0,1100849.0,0.0,5940.0,COMPLETED
d3d3dd142417b6ea34b7a010,baseline,0,1112157.0,0.0,52.0,COMPLETED
7371eb3cead49a7059b74791,baseline,1,1093583.0,0.0,26359.0,COMPLETED
811542e382ff75528b17e6ba,baseline,1,1122361.0,0.0,64.0,COMPLETED
5f5d59a1ea6d60f3900d9bcd,baseline,1,1125628.0,0.0,578.0,COMPLETED
5d033a07b5274dcf4eaf9f16,baseline,1,1128455.0,0.0,21.0,COMPLETED
d808556d4ae8ba19e9dd6baf,baseline,2,1125726.0,0.0,6586.0,COMPLETED
b675945594985b628d825163,baseline,1,1133510.0,0.0,2094.0,COMPLETED
343ccedade025043b5e5271c,baseline,3,1138083.0,0.0,103.0,COMPLETED
12297fc06d15267dce10576f,baseline,2,1137514.0,0.0,782.0,COMPLETED
9edecc548a398d30758d246f,baseline,3,1138493.0,0.0,153.0,COMPLETED
e0d84b3975b6fbf03835c553,baseline,1,1138495.0,0.0,719.0,COMPLETED
059f99004b4c8cc729595082,baseline,1,1136342.0,0.0,3791.0,COMPLETED
daf35aeb87bff995f44f5cc4,baseline,2,1138423.0,0.0,4026.0,COMPLETED
05d3ec31583186037582803a,baseline,1,1143470.0,0.0,474.0,COMPLETED
e0586d2ae0d20a32a74dc98c,baseline,1,1144645.0,0.0,1277.0,COMPLETED
8d5f1b2c0c76f962a3889274,baseline,3,1150147.0,0.0,45.0,COMPLETED
9f832ec9b0cb36149d4e6528,baseline,0,1120233.0,0.0,30417.0,COMPLETED
9f4754ad251f818a72007c6a,baseline,1,1148558.0,0.0,8577.0,COMPLETED
50404e2aabbcaf178c9768d1,baseline,2,1148565.0,0.0,9953.0,COMPLETED
aaf214cf022bf0313c669222,baseline,1,1158979.0,0.0,17.0,COMPLETED
63c3c04ce5ef9b78da3ee0de,baseline,0,1152415.0,0.0,7261.0,COMPLETED
52c2f1af031e36b377986fed,baseline,0,1159757.0,0.0,4610.0,COMPLETED
3a65fb200d7910d8b6cb618c,baseline,0,1172452.0,0.0,2734.0,COMPLETED
fdec049dbcae27ebe2047766,baseline,1,1174557.0,0.0,659.0,COMPLETED
a35f21e046072806110ada3c,baseline,0,1177737.0,0.0,284.0,COMPLETED
10b7a91f7a05fb49891ebfff,baseline,1,1182605.0,0.0,15.0,COMPLETED
ccff71112e133ba3ccc27535,baseline,1,1184687.0,0.0,727.0,COMPLETED
be2ed246d0f02336b344596b,baseline,2,1174837.0,0.0,11085.0,COMPLETED
4f794b14af4459cf808e7b2e,baseline,1,1186465.0,0.0,24.0,COMPLETED
